"title","video_link","img_link","play_time","hits_num","updated_time"
P-o,https://i.ytimg.com/vi/39pqgVhgP-o/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBdYqt7KP_cJc5sLg91fQ4TcPYUMA,13104,13시간 전,3:06
Around Town with Jaylen Brown,https://www.youtube.com/watch?v=NzEukiA0MEA,https://i.ytimg.com/vi/NzEukiA0MEA/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDh4Yn2ney-S8TeetLtPnBgiutBDQ,16940,16시간 전,2:00
Kemba Walker's Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=xFMaPhHJvm0,https://i.ytimg.com/vi/xFMaPhHJvm0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCnmxIxDJYT_CkVodbcBqE_nLyeQA,24246,18시간 전,2:12
Top 10 Circus Shots of the 2017 NBA Season,https://www.youtube.com/watch?v=8iWM7o0RH90,https://i.ytimg.com/vi/8iWM7o0RH90/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCGmr7d6UBkZ4ADeqMuFpEJCYe5fg,85855,21시간 전,2:54
Orlando Magic's Top 15 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=MIcXcZvu5Gk,https://i.ytimg.com/vi/MIcXcZvu5Gk/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDI_mUgxy5dN-I2dBsS8YhlL7aIsg,40254,1일 전,3:24
Isaiah Thomas' Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=3mUNX086R50,https://i.ytimg.com/vi/3mUNX086R50/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB-53k_UbNpGC35bjumAwQfsqABBQ,69639,1일 전,2:54
The Best 3-Pointers from the 2016-2017 NBA Season,https://www.youtube.com/watch?v=-NTIIGo1W6Y,https://i.ytimg.com/vi/-NTIIGo1W6Y/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBfW-Wqq_HuIVxJDk2veiSkDvgleg,165735,1일 전,15:34
Stephen Curry's INSANE 2016-2017 NBA Mixtape,https://www.youtube.com/watch?v=vPJyzyvAU-A,https://i.ytimg.com/vi/vPJyzyvAU-A/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAdFLDYDHUKsux6-oTcxJwRGffXVg,121302,1일 전,5:24
Brooklyn Nets' Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=jq7kgu98OQo,https://i.ytimg.com/vi/jq7kgu98OQo/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCq-e0sBLuHC5AUwPeL9MIhbyzmYQ,32699,2일 전,3:06
The Dream Team Scrimmages Against Chris Webber and the 1992 Select Team,https://www.youtube.com/watch?v=5xHoYnuMLZQ,https://i.ytimg.com/vi/5xHoYnuMLZQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAgv2fTbD0k1HyVIpUieeZOtNtWjQ,56629,2일 전,5:30
Kristaps and Ros Visit The Lion Park,https://www.youtube.com/watch?v=EBWumH0571Y,https://i.ytimg.com/vi/EBWumH0571Y/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD9o33kCekGmFogzzfsjtbh9pvQEA,13680,2일 전,1:12
"Michael Jordan, Magic Johnson's Squad Compete in Dream Team Scrimmage",https://www.youtube.com/watch?v=1FBwSO_1Mb8,https://i.ytimg.com/vi/1FBwSO_1Mb8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDptdIxz5POhC2Jku350UZujo-beQ,59942,2일 전,4:03
Draymond Green Reflects On The Dream Team's 25th Anniversary,https://www.youtube.com/watch?v=OKTZjZcvq-M,https://i.ytimg.com/vi/OKTZjZcvq-M/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCrI0yswHx6s1tiyM0oxyQsPhSmzA,36323,2일 전,2:32
LeBron James' Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=eeoeSRprXLo,https://i.ytimg.com/vi/eeoeSRprXLo/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBRvJNViF64iuQp6rCxRJkIAIZsGw,135984,2일 전,2:57
Miami Heat's Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=poBJfpN_3WM,https://i.ytimg.com/vi/poBJfpN_3WM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCisB4CnfDRJjD2UvLRlENNtRJsYA,56055,3일 전,2:27
New York Knicks' Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=yM0VqUAcxyo,https://i.ytimg.com/vi/yM0VqUAcxyo/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDodUwjsNZI64jJiq51jR_uqLOC2A,101456,3일 전,3:22
All-Access: NBA Africa Game 2017,https://www.youtube.com/watch?v=rWGH9k9-rl8,https://i.ytimg.com/vi/rWGH9k9-rl8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDKiXcLsHzeRahogjrKEcBM1_Xopw,23165,4일 전,2:27
Charlotte Hornets' Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=dQO7Qf8uUVw,https://i.ytimg.com/vi/dQO7Qf8uUVw/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDeiLQ84DG8wvrasH5HFAUuxmZ45g,37907,5일 전,2:16
Top 5 Plays of the Day: NBA Africa Game 2017,https://www.youtube.com/watch?v=fRNnNUDN6i0,https://i.ytimg.com/vi/fRNnNUDN6i0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBbayFJ4pesqyWTelbQajLhKFXjDQ,45098,5일 전,0:50
Best of Team Africa From NBA Africa Game 2017,https://www.youtube.com/watch?v=o-CDN8zC4As,https://i.ytimg.com/vi/o-CDN8zC4As/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLASOV3g-xYzeuMkVxgaHndIJljoWQ,21027,5일 전,4:02
Best of Team World from NBA Africa Game 2017,https://www.youtube.com/watch?v=-E2vD1DWO1A,https://i.ytimg.com/vi/-E2vD1DWO1A/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCGbzRBKYLUwYzk1ZcEHul6YP7zuQ,27895,5일 전,4:16
NBA Africa Game 2017 Charity Moment,https://www.youtube.com/watch?v=j9xafW3fFCY,https://i.ytimg.com/vi/j9xafW3fFCY/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDDj6VOYDyGjBpyUpRLM9OMGywxpA,12614,5일 전,7:34
NBA Africa MVP Victor Oladipo Postgame Interview with Chiney Ogwumike,https://www.youtube.com/watch?v=-WMU4m_XMh4,https://i.ytimg.com/vi/-WMU4m_XMh4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDR8MZer2eaTbwxYgU0ffuyap9CKA,13025,5일 전,1:22
Best of NBA Africa Game 2017 MVP Victor Oladipo,https://www.youtube.com/watch?v=bMsc058Z3pU,https://i.ytimg.com/vi/bMsc058Z3pU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBL20UaWucQoJhEt-d_eQghL1LBFg,15539,5일 전,2:35
"Full Highlights: Team World vs Team Africa, NBA Africa Game 2017",https://www.youtube.com/watch?v=y7pcbTbocnc,https://i.ytimg.com/vi/y7pcbTbocnc/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLC5vgqCXA0D5-vqHOrZhPeKN2c1zg,239820,5일 전,11:01
NBA Africa Game 2017: Team World and Team Africa Introductions,https://www.youtube.com/watch?v=zwVtET5UD5w,https://i.ytimg.com/vi/zwVtET5UD5w/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBGysIOu9SJT9JYWCHW8vcQnXQLNQ,51661,5일 전,4:38
Oladipo and Mudiay Visit Brammfontein,https://www.youtube.com/watch?v=WK571z8w6CM,https://i.ytimg.com/vi/WK571z8w6CM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAp0ArgBS2lH52dBIil7zPbrbWVHQ,6215,5일 전,1:52
All-Access: SOS Children’s Village,https://www.youtube.com/watch?v=D7rDk9ykCmk,https://i.ytimg.com/vi/D7rDk9ykCmk/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCa5RmrOhpbQonhcoe6RIh5RuGurQ,6709,5일 전,1:59
Team World and Team Africa Get in Work!,https://www.youtube.com/watch?v=LuY1NzSZKE8,https://i.ytimg.com/vi/LuY1NzSZKE8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAaT2bRNavQPze0HM-thSyf2R-Z1Q,6221,5일 전,1:06
Habitat for Humanity in South Africa,https://www.youtube.com/watch?v=dswXIW2rRuI,https://i.ytimg.com/vi/dswXIW2rRuI/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB-p-k2gMk1JcjBLty3LpHMhi24AA,3897,5일 전,1:44
