play_time,hits,updated_time,title,img_link,video_link
3:06,13109,13시간 전,Afternoon Tea with Joel Embiid,https://i.ytimg.com/vi/39pqgVhgP-o/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBdYqt7KP_cJc5sLg91fQ4TcPYUMA,https://www.youtube.com/watch?v=39pqgVhgP-o
2:00,16947,16시간 전,Around Town with Jaylen Brown,https://i.ytimg.com/vi/NzEukiA0MEA/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDh4Yn2ney-S8TeetLtPnBgiutBDQ,https://www.youtube.com/watch?v=NzEukiA0MEA
2:12,24268,18시간 전,Kemba Walker's Top 10 Plays of the 2016-2017 NBA Season,https://i.ytimg.com/vi/xFMaPhHJvm0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCnmxIxDJYT_CkVodbcBqE_nLyeQA,https://www.youtube.com/watch?v=xFMaPhHJvm0
2:54,85886,21시간 전,Top 10 Circus Shots of the 2017 NBA Season,https://i.ytimg.com/vi/8iWM7o0RH90/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCGmr7d6UBkZ4ADeqMuFpEJCYe5fg,https://www.youtube.com/watch?v=8iWM7o0RH90
3:24,40258,1일 전,Orlando Magic's Top 15 Plays of the 2016-2017 NBA Season,https://i.ytimg.com/vi/MIcXcZvu5Gk/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDI_mUgxy5dN-I2dBsS8YhlL7aIsg,https://www.youtube.com/watch?v=MIcXcZvu5Gk
2:54,69647,1일 전,Isaiah Thomas' Top 10 Plays of the 2016-2017 NBA Season,https://i.ytimg.com/vi/3mUNX086R50/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB-53k_UbNpGC35bjumAwQfsqABBQ,https://www.youtube.com/watch?v=3mUNX086R50
15:34,165777,1일 전,The Best 3-Pointers from the 2016-2017 NBA Season,https://i.ytimg.com/vi/-NTIIGo1W6Y/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBfW-Wqq_HuIVxJDk2veiSkDvgleg,https://www.youtube.com/watch?v=-NTIIGo1W6Y
5:24,121340,1일 전,Stephen Curry's INSANE 2016-2017 NBA Mixtape,https://i.ytimg.com/vi/vPJyzyvAU-A/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAdFLDYDHUKsux6-oTcxJwRGffXVg,https://www.youtube.com/watch?v=vPJyzyvAU-A
3:06,32701,2일 전,Brooklyn Nets' Top 10 Plays of the 2016-2017 NBA Season,https://i.ytimg.com/vi/jq7kgu98OQo/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCq-e0sBLuHC5AUwPeL9MIhbyzmYQ,https://www.youtube.com/watch?v=jq7kgu98OQo
5:30,56630,2일 전,The Dream Team Scrimmages Against Chris Webber and the 1992 Select Team,https://i.ytimg.com/vi/5xHoYnuMLZQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAgv2fTbD0k1HyVIpUieeZOtNtWjQ,https://www.youtube.com/watch?v=5xHoYnuMLZQ
