updated_time,play_time,video_link,title,hits,img_link
31분 전,0:52,https://www.youtube.com/watch?v=AL1VhgZNab0,Blake Griffin Interviews Stephen Curry and James Harden at 2009 Rookie Photo Shoot,3159,https://i.ytimg.com/vi/AL1VhgZNab0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAuC7H6OqvpLQ6QpxL57AEprVCMmw
1시간 전,4:13,https://www.youtube.com/watch?v=YZg92Q12-iU,The Top 10 Plays of the 2017 NBA Season,6804,https://i.ytimg.com/vi/YZg92Q12-iU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLC3mCpwnck-EhuxG-18N9Do2zVszQ
17시간 전,3:06,https://www.youtube.com/watch?v=39pqgVhgP-o,Afternoon Tea with Joel Embiid,15156,https://i.ytimg.com/vi/39pqgVhgP-o/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBdYqt7KP_cJc5sLg91fQ4TcPYUMA
20시간 전,2:00,https://www.youtube.com/watch?v=NzEukiA0MEA,Around Town with Jaylen Brown,18417,https://i.ytimg.com/vi/NzEukiA0MEA/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDh4Yn2ney-S8TeetLtPnBgiutBDQ
22시간 전,2:12,https://www.youtube.com/watch?v=xFMaPhHJvm0,Kemba Walker's Top 10 Plays of the 2016-2017 NBA Season,26849,https://i.ytimg.com/vi/xFMaPhHJvm0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCnmxIxDJYT_CkVodbcBqE_nLyeQA
1일 전,2:54,https://www.youtube.com/watch?v=8iWM7o0RH90,Top 10 Circus Shots of the 2017 NBA Season,92969,https://i.ytimg.com/vi/8iWM7o0RH90/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCGmr7d6UBkZ4ADeqMuFpEJCYe5fg
1일 전,3:24,https://www.youtube.com/watch?v=MIcXcZvu5Gk,Orlando Magic's Top 15 Plays of the 2016-2017 NBA Season,40788,https://i.ytimg.com/vi/MIcXcZvu5Gk/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDI_mUgxy5dN-I2dBsS8YhlL7aIsg
1일 전,2:54,https://www.youtube.com/watch?v=3mUNX086R50,Isaiah Thomas' Top 10 Plays of the 2016-2017 NBA Season,70506,https://i.ytimg.com/vi/3mUNX086R50/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB-53k_UbNpGC35bjumAwQfsqABBQ
1일 전,15:34,https://www.youtube.com/watch?v=-NTIIGo1W6Y,The Best 3-Pointers from the 2016-2017 NBA Season,172688,https://i.ytimg.com/vi/-NTIIGo1W6Y/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBfW-Wqq_HuIVxJDk2veiSkDvgleg
2일 전,5:24,https://www.youtube.com/watch?v=vPJyzyvAU-A,Stephen Curry's INSANE 2016-2017 NBA Mixtape,124574,https://i.ytimg.com/vi/vPJyzyvAU-A/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAdFLDYDHUKsux6-oTcxJwRGffXVg
