hits,updated_time,play_time,img_link,title,video_link
14938,2 hours ago,7:13,https://i.ytimg.com/vi/yZUUItxjpz4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDsQ2ryZQw0iNnfRQojvXZuik2dgQ,LeBron James ULTIMATE Mixtape | 2016-2017,https://www.youtube.com/watch?v=yZUUItxjpz4
27064,7 hours ago,6:38,https://i.ytimg.com/vi/GthyaTrUrSw/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA8iGqz0enijOBH_H-1UgnmTWhjkg,The Best Plays from Point Guards: 2017 NBA Season,https://www.youtube.com/watch?v=GthyaTrUrSw
82836,1 day ago,16:55,https://i.ytimg.com/vi/cnHYC1YN1aU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD_F5g9KCrF78Mm3AjwwhgMRqvO8Q,Kevin Durant BEST PLAY from EVERY GAME | 2017 Finals MVP | 2016-2017 Season,https://www.youtube.com/watch?v=cnHYC1YN1aU
164127,2 days ago,6:59,https://i.ytimg.com/vi/XXKfT2TMwQE/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDU3eOcYkxY8HiRSsD44bgbrEBCsw,James Harden's Top 28 Plays of his CAREER,https://www.youtube.com/watch?v=XXKfT2TMwQE
180157,3 days ago,4:34,https://i.ytimg.com/vi/FWJ0qfk-H_s/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAXMLF_tNne4yRrSag7g_vtVJgzfg,The BEST Bench Reactions of the 2017 NBA Season,https://www.youtube.com/watch?v=FWJ0qfk-H_s
172269,4 days ago,2:40,https://i.ytimg.com/vi/zmmTXKXhtEw/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBjRJPrzPaF9X3GB-nT1E4Da9keiw,Top 10 Spin Moves: 2017 NBA Season,https://www.youtube.com/watch?v=zmmTXKXhtEw
19052,4 days ago,2:53,https://i.ytimg.com/vi/feAcD3DnQO4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAwvQU54Fr2Q8L5wvuEudNa-azy9w,Reggie Miller 90's Throw Back | Talks With Ahmad Rashad About The Game of Basketball,https://www.youtube.com/watch?v=feAcD3DnQO4
60991,4 days ago,2:11,https://i.ytimg.com/vi/7bc6OwR_n2s/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCsF9UUVN1pfeMSY_FRxi2cG2k7Ow,INCREDIBLE Fan Half Court Shots From The 2016-2017 NBA Season,https://www.youtube.com/watch?v=7bc6OwR_n2s
18636,5 days ago,1:03,https://i.ytimg.com/vi/_n4fSf1Dyi4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDVOrWbS5_ftThbx081sU8uKxl_4A,All-Access: USA Basketball AmeriCup Team Training Camp,https://www.youtube.com/watch?v=_n4fSf1Dyi4
51370,5 days ago,2:06,https://i.ytimg.com/vi/YnIiSdpc7PQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB86LNI4NRAEZOztvoKEgfOc2eGbw,Hassan Whiteside Top 10 Blocks of 2016-2017 NBA Season,https://www.youtube.com/watch?v=YnIiSdpc7PQ
340804,5 days ago,11:56,https://i.ytimg.com/vi/tjRCk0JVzfc/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAYrvj4e-TsjiftG4w87ShiHiH-RQ,Kobe Bryant's BEST PLAY vs EVERY NBA TEAM In His Career!,https://www.youtube.com/watch?v=tjRCk0JVzfc
61339,6 days ago,0:38,https://i.ytimg.com/vi/o7R3i23fe80/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAMsZj4Qqc6OvgjAEOetW-Lamw29A,Kawhi Leonard Takes over the NBA's 5v5 Event In Beijing,https://www.youtube.com/watch?v=o7R3i23fe80
27731,6 days ago,0:31,https://i.ytimg.com/vi/dH88AXAlzmg/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDcCx3YDymnAUwvqA0WetjmnW3JpA,Kawhi Leonard's NBA Cares Guest Appearance In China!,https://www.youtube.com/watch?v=dH88AXAlzmg
678967,6 days ago,11:13,https://i.ytimg.com/vi/M_K4IU7t5ok/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAUZ8NxpjCRRdCjVrUgIVmVI6ewKg,Top 50 Impossible Shots of the 2017 NBA Season,https://www.youtube.com/watch?v=M_K4IU7t5ok
141529,6 days ago,24:52,https://i.ytimg.com/vi/FkIu5LQOsB8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB8q0tri4sg6ODPW4RYL0HB8T_Zlg,Giannis Antetokounmpo BEST PLAY from EVERY GAME | 2016-2017 Season,https://www.youtube.com/watch?v=FkIu5LQOsB8
72455,6 days ago,2:37,https://i.ytimg.com/vi/SQydYJkBGt8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAKaMnl-M6ypMdm18LJJfOCn3L7Nw,Kevin Durant's Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=SQydYJkBGt8
84469,1 week ago,2:58,https://i.ytimg.com/vi/brlyHDHnzaM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD8CzZhsQ24NOnF73KD3ubbl4TImw,Devin Booker's Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=brlyHDHnzaM
