video_link,hits,updated_time,title,img_link,play_time
https://www.youtube.com/watch?v=yZUUItxjpz4,17640,2 hours ago,LeBron James ULTIMATE Mixtape | 2016-2017,https://i.ytimg.com/vi/yZUUItxjpz4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDsQ2ryZQw0iNnfRQojvXZuik2dgQ,7:13
https://www.youtube.com/watch?v=GthyaTrUrSw,39575,7 hours ago,The Best Plays from Point Guards: 2017 NBA Season,https://i.ytimg.com/vi/GthyaTrUrSw/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA8iGqz0enijOBH_H-1UgnmTWhjkg,6:38
https://www.youtube.com/watch?v=cnHYC1YN1aU,83957,1 day ago,Kevin Durant BEST PLAY from EVERY GAME | 2017 Finals MVP | 2016-2017 Season,https://i.ytimg.com/vi/cnHYC1YN1aU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD_F5g9KCrF78Mm3AjwwhgMRqvO8Q,16:55
https://www.youtube.com/watch?v=XXKfT2TMwQE,165095,2 days ago,James Harden's Top 28 Plays of his CAREER,https://i.ytimg.com/vi/XXKfT2TMwQE/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDU3eOcYkxY8HiRSsD44bgbrEBCsw,6:59
https://www.youtube.com/watch?v=FWJ0qfk-H_s,180970,3 days ago,The BEST Bench Reactions of the 2017 NBA Season,https://i.ytimg.com/vi/FWJ0qfk-H_s/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAXMLF_tNne4yRrSag7g_vtVJgzfg,4:34
https://www.youtube.com/watch?v=zmmTXKXhtEw,172470,4 days ago,Top 10 Spin Moves: 2017 NBA Season,https://i.ytimg.com/vi/zmmTXKXhtEw/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBjRJPrzPaF9X3GB-nT1E4Da9keiw,2:40
https://www.youtube.com/watch?v=feAcD3DnQO4,19085,4 days ago,Reggie Miller 90's Throw Back | Talks With Ahmad Rashad About The Game of Basketball,https://i.ytimg.com/vi/feAcD3DnQO4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAwvQU54Fr2Q8L5wvuEudNa-azy9w,2:53
https://www.youtube.com/watch?v=7bc6OwR_n2s,61077,4 days ago,INCREDIBLE Fan Half Court Shots From The 2016-2017 NBA Season,https://i.ytimg.com/vi/7bc6OwR_n2s/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCsF9UUVN1pfeMSY_FRxi2cG2k7Ow,2:11
https://www.youtube.com/watch?v=_n4fSf1Dyi4,18659,5 days ago,All-Access: USA Basketball AmeriCup Team Training Camp,https://i.ytimg.com/vi/_n4fSf1Dyi4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDVOrWbS5_ftThbx081sU8uKxl_4A,1:03
https://www.youtube.com/watch?v=YnIiSdpc7PQ,51413,5 days ago,Hassan Whiteside Top 10 Blocks of 2016-2017 NBA Season,https://i.ytimg.com/vi/YnIiSdpc7PQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB86LNI4NRAEZOztvoKEgfOc2eGbw,2:06
https://www.youtube.com/watch?v=tjRCk0JVzfc,341650,5 days ago,Kobe Bryant's BEST PLAY vs EVERY NBA TEAM In His Career!,https://i.ytimg.com/vi/tjRCk0JVzfc/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAYrvj4e-TsjiftG4w87ShiHiH-RQ,11:56
